Date,Co2E
,23.163
200605,27.433
200606,34.204
200607,46.941
200608,45.669
200609,29.784
200610,28.661
200611,21.556
200612,22.528
200613,338.244
200701,24.354
200702,23.131
200703,22.6
200704,24.617
200705,27.554
200706,34.118
200707,41.3
200708,52.659
200709,37.094
200710,32.8
200711,24.335
200712,27.056
200713,371.674
200801,28.901
200802,23.864
200803,25.045
200804,25.512
200805,25.814
200806,36.133
200807,42.466
200808,41.429
200809,32.722
200810,29.609
200811,24.86
200812,25.897
200813,362.32
200901,26.449
200902,24.603
200903,27.097
200904,24.465
200905,27.918
200906,34.82
200907,42.156
200908,45.538
200909,37.387
200910,29.099
200911,24.776
200912,28.204
200913,372.585
201001,29.537
201002,25.952
201003,24.705
201004,25.479
201005,30.234
201006,38.131
201007,48.489
201008,50.968
201009,37.642
201010,30.811
201011,26.843
201012,30.528
201013,399.392
201101,29.188
201102,26.152
201103,26.043
201104,28.164
201105,30.881
201106,37.765
201107,50.694
201108,49.767
201109,36.941
201110,31.04
201111,29.308
201112,33.18
201113,409.184
201201,35.11
201202,34.877
201203,36.456
201204,38.626
201205,43.922
201206,47.572
201207,58.49
201208,54.282
201209,43.384
201210,36.176
201211,31.355
201212,32.434
201213,492.726
201301,34.294
201302,30.857
201303,32.778
201304,30.64
201305,33.337
201306,39.974
201307,49.416
201308,48.842
201309,40.751
201310,34.547
201311,32.614
201312,36.308
201313,444.416
201401,36.133
201402,30.036
201403,30.554
201404,29.885
201405,35.211
201406,39.228
201407,45.901
201408,48.871
201409,41.961
201410,38.286
201411,32.703
201412,34.8
201413,443.643
201501,39.155
201502,35.668
201503,38.872
201504,36.61
201505,40.44
201506,48.92
201507,57.712
201508,56.662
201509,49.384
201510,43.68
201511,40.394
201512,42.27
201513,529.83
201601,42.566
201602,37.918
201603,40.525
201604,39.763
201605,44.21
201606,53.567
201607,62.881
